"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"from.id";"from.name";"created_time";"updated_time";"message";"shares.count";"comments.summary.total_count";"reactions.summary.total_count";"like.summary.total_count";"love.summary.total_count";"haha.summary.total_count";"wow.summary.total_count";"sad.summary.total_count";"angry.summary.total_count";"id"
"CBHLands/777676339027439_3908061439322231/777676339027439_3908061439322231";"14165";"13499";"2";"777676339027439_3908061439322231";"empty";"";"fetched (200)";"2022-08-01 23:00:58.453574";"Facebook:/<post-id>/sharedposts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3907948049333570";"13500";"12158";"1";"777676339027439_3907948049333570";"data";"data.*";"fetched (200)";"2022-08-01 22:54:18.566029";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-07-21T08:11:00+0000";"2021-07-21T08:11:03+0000";"අප සමාගමෙන් ගෙවීමේ ක්‍රමයට ඉඩම් මිළදී ගන්න විට, ඇතමෙක්ට අත්තිකාරම් (Downpayment) මුදල එකවර ගෙවීම අපහසුයි. සාමාන්‍යයෙන්, ඉඩමේ වටිනාකමින් 30% ( downpayment ) / අත්තිකාරම් මුදලක් මෙලෙස ගෙවිය යුතුයි.  ශ්‍රී ලංකාවේ ප්‍රථම වතාවට, දේපළ මිලදී ගැනීමේදී මේ වන ගැටළුවට Pan Asia Bank එක අප හා එක්ව නවතම පිළියමක් මෙලෙස හඳුන්වා දීම ඉතාමත් විශේෂ කරුණකි.  වැඩි විස්තර සඳහා අපව අමතන්න | DM | Comment කරන්න. 076 999 0006";"";"0";"6";"6";"0";"0";"0";"0";"0";"777676339027439_3907948049333570"
"CBHLands/777676339027439_3907948049333570/777676339027439_3907948049333570";"13777";"13500";"2";"777676339027439_3907948049333570";"empty";"";"fetched (200)";"2022-08-01 22:57:30.335631";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3907948049333570/777676339027439_3907948049333570";"14166";"13500";"2";"777676339027439_3907948049333570";"empty";"";"fetched (200)";"2022-08-01 23:00:58.855694";"Facebook:/<post-id>/sharedposts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3907902722671436";"13501";"12158";"1";"777676339027439_3907902722671436";"data";"data.*";"fetched (200)";"2022-08-01 22:54:18.566029";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-07-20T06:05:27+0000";"2021-07-20T06:05:29+0000";"අත්තිකාරම් මුදල ගෙවීම අසීරුද?  ""අත්තිකාරම් මුදලට අත්වැලක්"" ගැන අපෙන් අසන්න. . . . . #downpayment #loan #new #innovation #srilanka #firsttime #cbhlands #consumerloan #consumer #loan #mortgage #cbhlands #investinland #investment #investing #invest #property #realestate #wealth #money #management #ceylonbrandhouse #panasiabank #pabc #Kurunegala";"";"1";"5";"5";"0";"0";"0";"0";"0";"777676339027439_3907902722671436"
"CBHLands/777676339027439_3907902722671436/777676339027439_3907902722671436";"13778";"13501";"2";"777676339027439_3907902722671436";"empty";"";"fetched (200)";"2022-08-01 22:57:30.847727";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3907902722671436/777676339027439_3907902722671436";"14167";"13501";"2";"777676339027439_3907902722671436";"empty";"";"fetched (200)";"2022-08-01 23:00:59.223822";"Facebook:/<post-id>/sharedposts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3854077728053936";"13502";"12158";"1";"777676339027439_3854077728053936";"data";"data.*";"fetched (200)";"2022-08-01 22:54:18.566029";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-07-19T03:11:58+0000";"2021-07-19T03:12:02+0000";"Monday Motivation: CBH Lands . . . . #dontwait #realestate #srilanka #invest #money #mondaymotivation #monday #cbhlands #quotes #motivation #millionaire #rich #wealth";"";"0";"4";"4";"0";"0";"0";"0";"0";"777676339027439_3854077728053936"
"CBHLands/777676339027439_3854077728053936/777676339027439_3854077728053936";"13779";"13502";"2";"777676339027439_3854077728053936";"empty";"";"fetched (200)";"2022-08-01 22:57:31.351317";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3854077728053936/777676339027439_3854077728053936";"14168";"13502";"2";"777676339027439_3854077728053936";"empty";"";"fetched (200)";"2022-08-01 23:00:59.652251";"Facebook:/<post-id>/sharedposts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
