"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"from.id";"from.name";"created_time";"updated_time";"message";"shares.count";"comments.summary.total_count";"reactions.summary.total_count";"like.summary.total_count";"love.summary.total_count";"haha.summary.total_count";"wow.summary.total_count";"sad.summary.total_count";"angry.summary.total_count"
"CBHLands/777676339027439_3704226383039072/777676339027439_3704226383039072";"40661";"15061";"2";"777676339027439_3704226383039072";"data";"data.*";"fetched (200)";"2022-08-05 15:39:32.295665";"Facebook:/<post-id>/comments";"";"";"2021-05-26T10:30:52+0000";"";"🙏🙏🙏🙏🙏🙏🇱🇰🇱🇰🇱🇰🇱🇰";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3759812264147150";"15062";"12158";"1";"777676339027439_3759812264147150";"data";"data.*";"fetched (200)";"2022-08-05 14:54:45.824027";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-05-25T09:07:32+0000";"2021-05-25T14:07:20+0000";"ඔබට හැකි අයුරින්, ළඟම ඇති රෝහලට අවශ්‍යය දෙයක් ආරක්‍ෂිත ලෙස ලබා දෙන්න.  රෝගාතුරුව සිටින සියළු දෙනාට ඉක්මන් සුවය, නීරෝගී දීර්ඝායුෂ ප්‍රර්ථනා කරන්නෙමු! - CBH Lands";"2";"6";"48";"42";"6";"0";"0";"0";"0"
"CBHLands/777676339027439_3759812264147150/777676339027439_3759812264147150";"40662";"15062";"2";"777676339027439_3759812264147150";"data";"data.*";"fetched (200)";"2022-08-05 15:39:32.996869";"Facebook:/<post-id>/comments";"";"";"2021-05-25T14:07:20+0000";"";"Great Humanity ..!";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3759812264147150/777676339027439_3759812264147150";"40663";"15062";"2";"777676339027439_3759812264147150";"data";"data.*";"fetched (200)";"2022-08-05 15:39:32.996869";"Facebook:/<post-id>/comments";"";"";"2021-05-25T11:26:18+0000";"";"Great";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3759812264147150/777676339027439_3759812264147150";"40664";"15062";"2";"777676339027439_3759812264147150";"data";"data.*";"fetched (200)";"2022-08-05 15:39:32.996869";"Facebook:/<post-id>/comments";"";"";"2021-05-25T10:18:13+0000";"";"🙏🙏";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3759812264147150/777676339027439_3759812264147150";"40665";"15062";"2";"777676339027439_3759812264147150";"data";"data.*";"fetched (200)";"2022-08-05 15:39:32.996869";"Facebook:/<post-id>/comments";"";"";"2021-05-25T09:53:26+0000";"";"Congratulations budusaranai";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3759812264147150/777676339027439_3759812264147150";"40666";"15062";"2";"777676339027439_3759812264147150";"data";"data.*";"fetched (200)";"2022-08-05 15:39:32.996869";"Facebook:/<post-id>/comments";"";"";"2021-05-25T09:46:33+0000";"";"🙏🙏🙏🙏🙏";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3759812264147150/777676339027439_3759812264147150";"40667";"15062";"2";"777676339027439_3759812264147150";"data";"data.*";"fetched (200)";"2022-08-05 15:39:32.996869";"Facebook:/<post-id>/comments";"";"";"2021-05-25T09:17:04+0000";"";"🙏";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3747767738684936";"15063";"12158";"1";"777676339027439_3747767738684936";"data";"data.*";"fetched (200)";"2022-08-05 14:54:45.824027";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-05-25T01:24:00+0000";"2021-05-25T01:24:03+0000";"CBH Lands සමාගමෙන් විකිණෙන ඉඩම්:  1. සියළු රාජ්‍ය අනුමැති සහිතය්. 2. නිර්දේශයන්ට අනුකූලව ජලය සපයා දී ඇත. 3. ලංකා විදුලිබල මණ්ඩලයට අනුකූලව විදුලිය සපයා දී ඇත. 4. නිර්දේශයන්ට අනුකූලව මාර්ග, කණු පද්ධති සහ යටිතල පහසුකම් සකසා ඇත.  එම නිසා CBH Lands වෙතින්  ඔබට නිරවුල් ඔප්පු සහිත, අවශ්‍ය විටෙක බැංකු ණය සඳහා යොදා ගත හැකි ඉඩම් කොටසක් ලැබෙන බවට අප සහතික වන්නෙමු. . . . #cbhlands #kurunegala #realestate #ceylonbrandhouse #kurunegalarealestate";"";"0";"9";"9";"0";"0";"0";"0";"0"
"CBHLands/777676339027439_3747767738684936/777676339027439_3747767738684936";"40668";"15063";"2";"777676339027439_3747767738684936";"empty";"";"fetched (200)";"2022-08-05 15:39:33.724196";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3671154926346218";"15064";"12158";"1";"777676339027439_3671154926346218";"data";"data.*";"fetched (200)";"2022-08-05 14:54:45.824027";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-05-24T02:41:00+0000";"2021-05-24T02:41:03+0000";"ඉඩමකට ආයෝජනය කරන්න කැමති නම් අපෙන් ඒ ගැන අසන්න! . . කුරුණෑගල අධිවේගී මාර්ගයේ ඇති පිවිසුම් (exits / Interchange ) ආසන්නයේ එනම් කිලෝ මීටර්  8- 10 km අතර ඇති ඉඩමක ආයෝජනය කරන්න. ඉඩම්වල අගය කවදත් වැඩි වෙන නිසාත්, highway එක හේතුවෙන්  ඉල්ලුම වැඩි වෙන නිසාත්, ඔබ කළ ආයෝජනයේ ප්‍රථිපල ඔබටම දැක ගත හැකි වෙනු ඇත.  . . #kurunegala #highway #exit #srilanka #ceylonbrandhouse #cbhlands #investment #invest #money #rich #wealth #buyland #investing #property #propertyinvestment #realestateinvesting #kurunegalalands #kurunegalarealestate #kurunegalaproperty #kurunegalainvestment #highwaysrilanka #srilankainvestments";"";"0";"6";"6";"0";"0";"0";"0";"0"
"CBHLands/777676339027439_3671154926346218/777676339027439_3671154926346218";"40669";"15064";"2";"777676339027439_3671154926346218";"empty";"";"fetched (200)";"2022-08-05 15:39:34.335641";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";""
