post_id,company,created_time,updated_time,message,shares_count,comments_count,reactions_count,like_count,love_count,haha_count,wow_count,sad_count,angry_count
828739300530904_4894641513940642,Home Lands,2021-01-07T00:30:00+0000,2021-01-18T08:17:27+0000,"South Asia’s 1st Victorian Style Golf Resort Apartments, “Canterbury Golf Resort Apartments & Residencies” Piliyandala - Kahathuduwa By Home Lands. Model Apartment Ready For Your Inspection.  Call Us Now 071 0 444 111  Features _ Living & Dining _ Lobby _ Pantry _ 3 Bedrooms 2 Bathrooms _ Maid's Room & Toilet _ Balconies _ One Parking Lot  __ A New Way Of Living Combined With Golf & Health Care __ Common Features  __ Nine Hole Golf Course __ 05 Minutes To Southern Expressway __ 20 Minutes To Colombo City Limits __ 4 Way Lanes Up To Colombo City Limits __ Victorian Style Architecture __ Pet Friendly __ Free Tree Plantation __ MANY MORE ACTIVITIES  Interest Free Payment Plan Loan Facility Can Be Arranged Up To 70%  More Details - 071 0 444 111 www.homelandsskyline.lk",1,0,14,12,2,0,0,0,0
828739300530904_4887462421325218,Home Lands,2021-01-04T11:09:41+0000,2021-01-08T01:31:34+0000,Read more about apartments in Colombo that are crafted specifically with all your needs in mind here: https://www.homelandsskyline.lk/luxury-apartments-in-colombo-uniquely-crafted-to-suit-your-needs/,4,1,574,562,12,0,0,0,0
828739300530904_4875184342553026,Home Lands,2021-01-01T06:50:39+0000,2021-01-18T08:06:44+0000,Great Location Premium Living Porshia Skyline Residencies - Nawala  Ready For Occupation!!! Call Us Now 071 5 238 238  Features  _ Two Elevators _ Secured & Covered Parking And Service Facilities _ Roof Top Garden _ Roof Top BBQ Pavilion _ Infinity Swimming Pool _ Fully Equipped Modern Gym _ Multi-Function Hall _ 24 Hour Security With CCTV Cameras _ Fully Backup Generator  Interest Free Payment Plan Price Starting From 25M Loan Facility Can Be Arranged Up To 70% More Details - 071 5 238 238 www.homelandsskyline.lk,1,0,9,9,0,0,0,0,0
828739300530904_5080708525333939,Home Lands,2021-02-18T12:26:55+0000,2021-02-18T12:26:55+0000,,1,0,38,33,5,0,0,0,0
828739300530904_5079661942105264,Home Lands,2021-02-18T06:35:20+0000,2021-02-18T16:09:20+0000,"For the first time in Sri Lanka, Homelands Skyline has made its mark by being the first real estate company to move digital! Read more on how they did just that here: https://www.homelandsskyline.lk/homelands-skyline-the-first-real-estate-company-in-sri-lanka-to-move-digital/",10,4,127,112,14,0,1,0,0
828739300530904_5067918256612966,Home Lands,2021-02-15T11:18:28+0000,2021-05-17T04:31:35+0000,Read more on the real estate industry analysis and predictions by Mr. Nalin Herath – Chairman and Managing Director of Homelands Skyline: https://www.homelandsskyline.lk/real-estate-industry-analysis-and-predictions-by-mr-nalin-herath-chairman-and-managing-director-of-homelands-skyline/,16,2,75,67,8,0,0,0,0
828739300530904_5067089546695837,Home Lands,2021-02-15T06:14:09+0000,2021-02-15T06:14:09+0000,"_______ ____ ______________ ____ ________ _____________ ____ ________ ____ __________ Infinity Swimming Pool ___ _________. ___ _____ __________ _________ _______ ________ ____ _________ _______,________ _______ ______________ ___________ Aurum Skyline ______________ ___________ ___________________. __________ _______ _______ __________! _________ ___ _____ 2, 3BR Apartment _ Royal Collage 1.5KM _ Visaka Vidyalaya 0.9KM _ Sirimavo Bandaranayake Vidyalaya 0.5KM _ Wycherley international 1KM _ The British School 1.8KM _________ _______: Rs. 1 Mn, _____ ____ ____ _______ ______ _________. ______ _____________ __________ – 071 7 888 222",7,0,29,25,3,0,0,1,0
828739300530904_5058789210859204,Home Lands,2021-02-13T06:48:44+0000,2021-08-13T11:24:06+0000,"Listen as our engineer, Mr. Ayesh Silva brings you a construction update of Canterbury Apartments and Residencies, Piliyandala – Kahathuduwa, the First Golf Resort Apartment in Sri Lanka, which is expected to be completed in 2022.",48,16,119,98,13,2,4,0,2
828739300530904_5058541364217322,Home Lands,2021-02-13T05:01:55+0000,2021-05-01T12:03:45+0000,____________ ___ _______ _______ ____ _____ _____ _______ ______ __ ___ ______ _______ ____ _____ _________ _______ __________ ____ ____ ___ ______ 071 0 444 111,174,70,11427,11232,155,8,22,6,4
828739300530904_5041580829246709,Home Lands,2021-02-09T04:12:02+0000,2021-03-29T19:31:24+0000,Home Lands Holding (Pvt.) Ltd and Home Lands Skyline (Pvt.) Ltd. is proud to announce that they are the first company in Sri Lanka that was awarded the highest grading as a registered property developer for maintaining the highest standards in real estate by CIDA for the year 2021.,29,20,7557,7026,489,13,5,8,16
828739300530904_5012918968779562,Home Lands,2021-02-04T00:30:00+0000,2021-02-04T00:30:04+0000,"_____ ____ ___  ___, ___, ___, __ __ ____ _____ ________ ____ ___.  __ _____ _______ ______ 73 __ ________ !!!",4,0,20,19,1,0,0,0,0
828739300530904_5018041081600684,Home Lands,2021-02-03T09:31:19+0000,2021-02-03T09:31:19+0000,Read more on the Wellness Centre and Spa at Canterbury Golf Resort Apartments & Residencies here : https://www.homelandsskyline.lk/introducing-the-wellness-centre-and-spa-at-canterbury-golf-resort-apartments-residencies-by-homelands-skyline/,1,0,18,17,1,0,0,0,0
828739300530904_5266876786717111,Home Lands,2021-03-30T04:00:57+0000,2021-03-30T04:00:57+0000,"Homelands Skyline is excited to announce the launch of their 15th apartment and residency project: Santorini Resort Apartments and Residencies - Negombo fashioned after the blue and white architecture of Santorini, an island in Greece. Read more about it here: https://www.homelandsskyline.lk/santorini-resort-apartments-and-residencies-another-resort-apartment-complex-by-homelands-skyline/",2,0,19,16,3,0,0,0,0
